tick,state_before_hex,state_after_hex,axis_hex,C,S,ds2_CS
0,0xc621fbcd16d92688,0xb67badacb148d949,0x705a5661a791ffc1,33,31,-128
1,0xb67badacb148d949,0xc621fbcd16d92688,0x705a5661a791ffc1,33,31,-128
2,0xc621fbcd16d92688,0xb67badacb148d949,0x705a5661a791ffc1,33,31,-128
3,0xb67badacb148d949,0xc621fbcd16d92688,0x705a5661a791ffc1,33,31,-128
4,0xc621fbcd16d92688,0xb67badacb148d949,0x705a5661a791ffc1,33,31,-128
5,0xb67badacb148d949,0xc621fbcd16d92688,0x705a5661a791ffc1,33,31,-128
6,0xc621fbcd16d92688,0xb67badacb148d949,0x705a5661a791ffc1,33,31,-128
7,0xb67badacb148d949,0xc621fbcd16d92688,0x705a5661a791ffc1,33,31,-128
8,0xc621fbcd16d92688,0xb67badacb148d949,0x705a5661a791ffc1,33,31,-128
9,0xb67badacb148d949,0xc621fbcd16d92688,0x705a5661a791ffc1,33,31,-128
10,0xc621fbcd16d92688,0xb67badacb148d949,0x705a5661a791ffc1,33,31,-128
11,0xb67badacb148d949,0xc621fbcd16d92688,0x705a5661a791ffc1,33,31,-128
12,0xc621fbcd16d92688,0xb67badacb148d949,0x705a5661a791ffc1,33,31,-128
13,0xb67badacb148d949,0xc621fbcd16d92688,0x705a5661a791ffc1,33,31,-128
14,0xc621fbcd16d92688,0xb67badacb148d949,0x705a5661a791ffc1,33,31,-128
15,0xb67badacb148d949,0xc621fbcd16d92688,0x705a5661a791ffc1,33,31,-128
16,0xc621fbcd16d92688,0xb67badacb148d949,0x705a5661a791ffc1,33,31,-128
17,0xb67badacb148d949,0xc621fbcd16d92688,0x705a5661a791ffc1,33,31,-128
18,0xc621fbcd16d92688,0xb67badacb148d949,0x705a5661a791ffc1,33,31,-128
19,0xb67badacb148d949,0xc621fbcd16d92688,0x705a5661a791ffc1,33,31,-128
20,0xc621fbcd16d92688,0xb67badacb148d949,0x705a5661a791ffc1,33,31,-128
21,0xb67badacb148d949,0xc621fbcd16d92688,0x705a5661a791ffc1,33,31,-128
22,0xc621fbcd16d92688,0xb67badacb148d949,0x705a5661a791ffc1,33,31,-128
23,0xb67badacb148d949,0xc621fbcd16d92688,0x705a5661a791ffc1,33,31,-128
24,0xc621fbcd16d92688,0xb67badacb148d949,0x705a5661a791ffc1,33,31,-128
25,0xb67badacb148d949,0xc621fbcd16d92688,0x705a5661a791ffc1,33,31,-128
26,0xc621fbcd16d92688,0xb67badacb148d949,0x705a5661a791ffc1,33,31,-128
27,0xb67badacb148d949,0xc621fbcd16d92688,0x705a5661a791ffc1,33,31,-128
28,0xc621fbcd16d92688,0xb67badacb148d949,0x705a5661a791ffc1,33,31,-128
29,0xb67badacb148d949,0xc621fbcd16d92688,0x705a5661a791ffc1,33,31,-128
30,0xc621fbcd16d92688,0xb67badacb148d949,0x705a5661a791ffc1,33,31,-128
31,0xb67badacb148d949,0xc621fbcd16d92688,0x705a5661a791ffc1,33,31,-128
